,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class
2420,M,0.35,0.255,0.085,0.2145,0.1,0.0465,0.06,13
3459,M,0.615,0.505,0.19,1.403,0.6715,0.2925,0.365,8
2567,F,0.46,0.35,0.115,0.46,0.2025,0.1115,0.1165,6
2878,F,0.465,0.35,0.11,0.4085,0.165,0.102,0.131,8
958,I,0.5,0.385,0.12,0.56,0.2835,0.103,0.135,8
2801,M,0.64,0.515,0.08,1.042,0.515,0.1755,0.175,10
3567,I,0.58,0.46,0.14,0.9265,0.4135,0.1845,0.27,10
186,F,0.63,0.48,0.15,1.0525,0.392,0.336,0.285,12
3357,I,0.375,0.285,0.1,0.239,0.105,0.0555,0.07,8
205,F,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,9
1256,I,0.425,0.31,0.09,0.301,0.1385,0.065,0.08,7
463,I,0.22,0.165,0.055,0.0545,0.0215,0.012,0.02,5
581,I,0.55,0.425,0.15,0.806,0.376,0.171,0.245,14
577,F,0.585,0.435,0.175,0.982,0.4055,0.2495,0.27,10
1159,M,0.605,0.48,0.17,1.1835,0.582,0.2365,0.317,10
4019,M,0.66,0.515,0.155,1.4415,0.7055,0.3555,0.335,10
2150,M,0.445,0.355,0.11,0.4415,0.1805,0.1035,0.1505,10
445,F,0.56,0.455,0.19,0.714,0.283,0.129,0.275,9
1013,F,0.625,0.475,0.175,1.1435,0.4755,0.2475,0.349,10
1308,F,0.545,0.445,0.15,0.8,0.3535,0.163,0.207,9
1870,I,0.53,0.43,0.14,0.677,0.298,0.0965,0.23,8
1222,I,0.335,0.245,0.09,0.2015,0.096,0.0405,0.048,7
1214,I,0.275,0.195,0.09,0.1125,0.0545,0.0295,0.0355,6
1564,I,0.46,0.35,0.11,0.4,0.176,0.083,0.1205,7
2675,M,0.6,0.49,0.21,1.9875,1.005,0.419,0.491,10
343,F,0.505,0.375,0.18,0.568,0.2325,0.1495,0.17,12
3856,I,0.335,0.255,0.085,0.1785,0.071,0.0405,0.055,9
1500,F,0.63,0.5,0.175,1.1105,0.467,0.268,0.329,10
297,I,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03,4
3991,M,0.685,0.51,0.18,1.4545,0.6315,0.3105,0.3725,9
479,M,0.66,0.545,0.185,1.32,0.5305,0.2635,0.455,16
3962,F,0.72,0.575,0.195,2.1505,1.0745,0.382,0.585,10
275,M,0.655,0.54,0.215,1.844,0.7425,0.327,0.585,22
1501,M,0.63,0.455,0.15,1.1315,0.481,0.2745,0.305,9
3413,M,0.49,0.395,0.12,0.674,0.3325,0.1235,0.185,9
1036,F,0.66,0.505,0.185,1.528,0.69,0.3025,0.441,11
3034,M,0.54,0.42,0.19,0.6855,0.293,0.163,0.38,10
2285,I,0.42,0.33,0.1,0.352,0.1635,0.089,0.1,9
2679,F,0.615,0.47,0.155,1.084,0.5885,0.209,0.246,9
4076,I,0.545,0.43,0.14,0.772,0.289,0.19,0.2615,8
1483,M,0.59,0.44,0.15,0.8725,0.387,0.215,0.245,8
1414,M,0.685,0.545,0.205,1.7925,0.8145,0.416,0.461,9
1475,F,0.56,0.43,0.15,0.8745,0.453,0.161,0.22,8
717,I,0.25,0.19,0.06,0.0765,0.036,0.0115,0.0245,6
3854,F,0.485,0.4,0.155,0.731,0.236,0.183,0.255,11
4035,I,0.52,0.41,0.14,0.5995,0.242,0.1375,0.182,11
3483,I,0.47,0.355,0.115,0.4155,0.167,0.084,0.139,7
2282,F,0.495,0.385,0.13,0.6905,0.3125,0.179,0.175,10
3067,M,0.65,0.505,0.17,1.5595,0.695,0.3515,0.395,11
529,M,0.385,0.3,0.095,0.24,0.0885,0.059,0.085,9
2893,F,0.535,0.445,0.125,0.8725,0.417,0.199,0.24,8
1427,F,0.75,0.61,0.235,2.5085,1.232,0.519,0.612,14
785,M,0.55,0.415,0.175,1.042,0.3295,0.2325,0.2905,15
508,M,0.56,0.435,0.18,0.889,0.36,0.204,0.25,11
1173,M,0.63,0.5,0.175,1.2645,0.5635,0.3065,0.3425,10
3160,I,0.275,0.2,0.065,0.1165,0.0565,0.013,0.035,7
1045,M,0.69,0.505,0.2,1.872,0.893,0.4015,0.48,10
3818,M,0.565,0.445,0.14,0.836,0.406,0.1605,0.2245,9
68,F,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,10
1181,F,0.655,0.51,0.175,1.415,0.5885,0.3725,0.364,10
2390,F,0.455,0.35,0.125,0.4485,0.1585,0.102,0.1335,16
1137,F,0.575,0.45,0.16,1.068,0.556,0.214,0.2575,10
884,M,0.66,0.52,0.19,1.558,0.755,0.298,0.4,10
3495,M,0.56,0.415,0.13,0.7615,0.3695,0.17,0.1955,8
554,I,0.485,0.39,0.125,0.591,0.287,0.141,0.12,9
1571,I,0.475,0.36,0.125,0.4905,0.205,0.1305,0.125,8
933,I,0.45,0.36,0.13,0.478,0.191,0.127,0.137,7
792,M,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,9
2934,F,0.62,0.475,0.15,0.9545,0.455,0.1865,0.277,9
3420,F,0.595,0.475,0.165,1.148,0.444,0.214,0.37,10
2628,I,0.29,0.21,0.06,0.1045,0.0415,0.022,0.035,5
3079,F,0.7,0.555,0.22,1.666,0.647,0.4285,0.455,11
